,TP9,AF7,AF8,TP10,Right AUX,timestamps
138,77.637,-12.207,-23.926,999.512,0.000,1737549843.958
139,16.602,-45.410,-41.504,634.766,0.000,1737549843.962
140,-79.590,-39.551,-23.926,-338.867,0.000,1737549843.965
141,-84.473,-16.113,-3.418,25.391,0.000,1737549843.969
142,-12.207,-12.207,-10.254,938.477,0.000,1737549843.972
143,52.734,-10.742,-7.812,998.535,0.000,1737549843.976
144,11.719,-4.883,3.906,839.355,0.000,1737549843.980
145,-75.195,-16.113,1.953,61.035,0.000,1737549843.984
146,-73.242,-36.133,-22.949,138.672,0.000,1737549843.987
147,28.320,-46.387,-48.340,921.875,0.000,1737549843.991
148,59.082,-33.203,-28.809,991.211,0.000,1737549843.994
149,-10.742,-5.859,-2.930,881.836,0.000,1737549843.998
150,-82.031,0.000,-6.836,91.797,0.000,1737549844.001
151,-90.820,-7.324,-9.277,-304.199,0.000,1737549844.005
152,-37.109,3.906,-13.672,406.250,0.000,1737549844.008
153,50.293,7.324,-21.973,952.637,0.000,1737549844.012
154,21.973,-25.391,-21.973,361.816,0.000,1737549844.016
155,-98.145,-48.340,-15.137,-787.598,0.000,1737549844.019
156,-95.703,-20.996,-7.812,-1000.000,0.000,1737549844.024
157,-41.992,-8.789,-6.348,-467.285,0.000,1737549844.027
158,16.602,-8.301,-9.766,312.500,0.000,1737549844.031
159,13.184,-16.113,-20.996,57.617,0.000,1737549844.035
160,-54.199,-36.133,-30.273,-831.055,0.000,1737549844.038
161,-94.238,-29.785,-29.785,-1000.000,0.000,1737549844.042
162,-51.270,-8.789,-31.250,-545.898,0.000,1737549844.045
163,36.133,-9.277,-18.066,158.691,0.000,1737549844.049
164,13.672,-27.832,-15.137,-74.707,0.000,1737549844.052
165,-102.539,-36.621,-28.320,-835.449,0.000,1737549844.056
166,-116.211,-22.461,-23.438,-1000.000,0.000,1737549844.059
167,-50.293,-25.391,-20.996,-762.207,0.000,1737549844.063
168,6.348,-21.973,-24.414,41.504,0.000,1737549844.069
169,15.625,-7.812,-26.855,353.516,0.000,1737549844.073
170,-61.035,-10.254,-13.672,-484.863,0.000,1737549844.077
171,-98.633,-25.879,-4.883,-1000.000,0.000,1737549844.080
172,-42.480,-39.062,-11.230,-516.602,0.000,1737549844.084
173,16.113,-16.602,-15.625,458.008,0.000,1737549844.087
174,18.066,-11.719,-14.648,463.867,0.000,1737549844.091
175,-47.852,-25.879,-12.207,-532.227,0.000,1737549844.094
176,-95.215,-20.508,-20.996,-1000.000,0.000,1737549844.098
177,-62.012,-11.230,-28.320,-821.777,0.000,1737549844.101
178,-4.883,-9.277,-20.020,-120.605,0.000,1737549844.105
179,22.949,-20.508,-9.277,344.727,0.000,1737549844.108
180,-21.973,-19.531,-8.789,-363.770,0.000,1737549844.115
181,-77.637,-17.578,-15.625,-1000.000,0.000,1737549844.119
182,-60.059,-23.926,-19.043,-848.145,0.000,1737549844.122
183,-21.484,-21.484,-28.809,-135.742,0.000,1737549844.126
184,-11.230,-20.020,-24.902,330.078,0.000,1737549844.129
185,-34.668,-15.625,-13.672,-314.453,0.000,1737549844.133
186,-70.312,-22.461,-11.230,-1000.000,0.000,1737549844.136
187,-72.754,-37.109,-11.230,-882.324,0.000,1737549844.140
188,9.277,-21.973,-26.367,-248.047,0.000,1737549844.143
189,47.852,-2.930,-29.785,114.746,0.000,1737549844.147
190,1.465,-2.441,-9.766,-458.984,0.000,1737549844.151
191,-74.707,-20.996,-2.441,-1000.000,0.000,1737549844.154
192,-83.496,-33.203,-17.090,-982.422,0.000,1737549844.160
193,-19.043,-10.254,-23.926,-584.473,0.000,1737549844.164
194,-7.324,-4.883,-16.602,-0.488,0.000,1737549844.168
195,18.555,-16.602,-8.789,-256.348,0.000,1737549844.171
196,-21.484,-21.484,-25.391,-954.590,0.000,1737549844.175
197,-78.613,-23.926,-28.809,-967.285,0.000,1737549844.178
198,-13.672,-17.578,-9.277,-394.531,0.000,1737549844.182
199,32.227,-16.602,0.488,249.023,0.000,1737549844.185
200,17.090,-17.090,-8.301,207.520,0.000,1737549844.189
201,-29.785,-14.648,-17.090,-644.043,0.000,1737549844.193
202,-52.246,-29.785,-9.766,-942.871,0.000,1737549844.196
203,11.230,-29.785,-17.578,-65.918,0.000,1737549844.200
204,61.035,-9.277,-27.344,753.906,0.000,1737549844.206
205,30.273,1.465,-22.461,573.730,0.000,1737549844.209
206,-68.848,-13.184,-24.414,-479.980,0.000,1737549844.213
207,-111.328,-31.738,-13.184,-1000.000,0.000,1737549844.217
208,-30.273,-22.949,-3.418,-353.516,0.000,1737549844.220
209,37.598,-9.277,-12.207,575.195,0.000,1737549844.224
210,20.508,-12.695,-23.438,469.238,0.000,1737549844.227
211,-48.340,-25.391,-18.066,-553.223,0.000,1737549844.231
212,-79.102,-24.902,-14.160,-1000.000,0.000,1737549844.234
213,-57.129,-22.461,-12.207,-661.133,0.000,1737549844.238
214,2.441,-23.438,-18.555,105.469,0.000,1737549844.242
215,22.949,-16.602,-31.250,223.145,0.000,1737549844.245
216,-24.414,-18.066,-33.203,-562.500,0.000,1737549844.251
217,-94.238,-20.020,-5.859,-1000.000,0.000,1737549844.255
218,-56.641,-16.113,3.418,-791.016,0.000,1737549844.258
219,48.828,-30.273,-3.418,-77.637,0.000,1737549844.262
220,45.410,-29.785,-8.301,235.840,0.000,1737549844.266
221,-22.949,-17.578,-28.320,-452.148,0.000,1737549844.269
222,-71.289,-23.438,-36.621,-1000.000,0.000,1737549844.273
223,-41.504,-26.855,-25.879,-798.828,0.000,1737549844.276
224,12.207,-21.484,-16.113,-2.930,0.000,1737549844.280
225,34.668,-19.531,-18.066,471.680,0.000,1737549844.284
226,-4.395,-13.184,-9.277,-108.887,0.000,1737549844.287
227,-66.895,-14.160,1.465,-952.148,0.000,1737549844.291
228,-57.617,-26.855,-6.836,-664.551,0.000,1737549844.297
229,21.973,-22.461,-20.020,319.336,0.000,1737549844.300
230,53.223,-22.949,-15.625,834.473,0.000,1737549844.304
231,-27.832,-23.926,6.348,291.992,0.000,1737549844.308
232,-82.031,-18.555,-2.930,-714.355,0.000,1737549844.311
233,-48.828,-24.414,-32.715,-415.527,0.000,1737549844.315
